Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","14/03/2023 01:27 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=Y0gv5U
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:,2021
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2021,Afghanistan,AFG,Turkmenistan,TKM,10,0,-
2021,Afghanistan,AFG,Türkiye,TUR,7647,133062,-
2021,Afghanistan,AFG,"United Arab Emirates",ARE,5,30,-
2021,Afghanistan,AFG,Ukraine,UKR,890,1068,-
2021,Afghanistan,AFG,Uruguay,URY,5,6,-
2021,Afghanistan,AFG,"United States of America",USA,1649,1212,-
2021,Afghanistan,AFG,Uzbekistan,UZB,13032,0,-
2021,Afghanistan,AFG,"Venezuela (Bolivarian Republic of)",VEN,10,0,-
2021,Anguilla,AIA,Peru,PER,0,5,-
2021,Albania,ALB,Argentina,ARG,18,0,-
2021,Albania,ALB,Australia,AUS,37,96,-
2021,Albania,ALB,Austria,AUT,52,23,-
2021,Albania,ALB,Belgium,BEL,689,470,-
2021,Albania,ALB,Brazil,BRA,0,7,-
2021,Albania,ALB,Bulgaria,BGR,0,5,-
2021,Albania,ALB,Canada,CAN,749,183,-
2021,Albania,ALB,Cyprus,CYP,0,5,-
2021,Albania,ALB,Ecuador,ECU,6,0,-
2021,Albania,ALB,Finland,FIN,5,5,-
2021,Albania,ALB,France,FRA,9860,2932,-
2021,Albania,ALB,"United Kingdom of Great Britain and Northern Ireland",GBR,4153,12103,-
2021,Albania,ALB,Germany,DEU,1274,1676,-
2021,Albania,ALB,Greece,GRC,182,917,-
2021,Albania,ALB,Iceland,ISL,5,5,-
2021,Albania,ALB,Ireland,IRL,206,413,-
2021,Albania,ALB,Israel,ISR,0,12,-
2021,Albania,ALB,Italy,ITA,860,336,-
2021,Albania,ALB,Liechtenstein,LIE,0,5,-
2021,Albania,ALB,Luxembourg,LUX,38,5,-
2021,Albania,ALB,Mexico,MEX,8,0,-
